| Code   | Name                         |
| ------ | ---------------------------- |
| 270001 | Monolithic Automotive Series |
| 270002 | Retro Racing Series          |
| 270003 | Minimalist Speed Series      |
| 270004 | Neon Nights Series           |
| 270005 | Aesthetic Capture Series     |
| 270006 | Neon Highway                 |
| 270007 | Structured Path Series       |
| 270008 | Boho Automotive Series       |
| 270009 | Bohemian Abstract Series     |
| 270010 | Lined Boho Series            |
| 270011 | Set Composition Series       |
| 270012 | Boho Geometry Series         |
| 270013 | Sacred Geometry Series       |
| 270014 | Islamic Calligraphy Series   |
| 270015 | Arabesque Pattern Series     |
| 270016 | Devotional Art Series        |
| 270017 | Mandalas of Faith Series     |
| 270018 | Sacred Ornaments Series      |
| 270019 | Divine Light Series          |
| 270020 | Symmetric Grace Series       |
| 270021 | Spiritual Geometry Series    |
| 270022 | Classic Arabesque Series     |
| 270023 | Inspire Daily Series         |
| 270024 | Motivational Word Series     |
| 270025 | Vanguard Hero Series         |
| 270026 | Success Mindset Series       |
| 270027 | Dreamer Spirit Series        |
| 270028 | Infinite Path Series         |
| 270029 | Daily Wisdom Series          |
| 270030 | Echoes of Truth Series       |
| 270031 | Mindset Shift Series         |
| 270032 | Rise & Grind Series          |
| 270033 | Legacy Builders Series       |
| 270034 | Creative Spark Series        |
| 270035 | Bengali Typography Series    |
| 270036 | Bangla Lettering Series      |
| 270037 | Kotha O Kobita Series        |
| 270038 | Bhashar Tan Series           |
| 270039 | Inspire Daily Series         |
| 270040 | Motivational Word Series     |
| 270041 | Sacred Ornaments             |
| 270042 | Mandalas of Faith            |
| 270043 | Band Rhythm Series           |
| 270044 | Ganer Srot Series            |
| 270045 | Botanical Grace Series       |
| 270046 | Monstera Leaf Series         |
| 270047 | Cosmic Night Series          |
| 270048 | Celestial Harmony Series     |
| 270049 | Diverse Composition Series   |
| 270050 | Visual Balance Series        |
| 270051 | Visual Harmony Series        |
| 270052 | Modern Gallery Series        |
| 270053 | Verdant Sanctuary Series     |
| 270054 | Ethereal Greens Series       |
| 270055 | Majestic Vistas Series       |
| 270056 | Serene Horizons Series       |
| 270057 | Cafe Racer Series            |
| 270058 | Superbike Speed Series       |
| 270059 | Dreamy Pastel Series         |
| 270060 | Blush Pink Series            |
| 270061 | Eclectic Visuals Series      |
| 270062 | Abstract Fusion Series       |
| 270063 | Caped Crusaders Series       |
| 270064 | Console Legends Series       |
| 270065 | Epic Quest Series            |
| 270066 | Retro Pixel Series           |
| 270067 | Pitch Masters Series         |
| 270068 | Golden Boot Series           |
| 270069 | Shonen Spirit Series         |
| 270070 | Classic Anime Series         |
| 270071 | Panoramic Vistas Series      |
| 270072 | Nature Echoes Series         |
| 270073 | Vanguard Hero Series         |
| 270074 | Success Mindset Series       |
| 270075 | Starry Pathway Series        |
| 270076 | Glow in Dark Series          |
| 270077 | Girlish Aesthetic Series     |
| 270078 | Kawaii Essence Series        |
| 270079 | Seven Kingdoms Series        |
| 270080 | Winter Is Coming Series      |
| 270081 | Curated Selection Series     |
| 270082 | Diverse Composition Series   |
| 270083 | Visual Balance Series        |
| 270084 | Silver Screen Series         |
| 270085 | Visual Harmony Series        |
| 270086 | Modern Gallery Series        |
| 270087 | Botanical Herbarium Series   |
| 270088 | Jungle Vibes Series          |
| 270089 | Eclectic Visuals Series      |
| 270090 | Wildflower Bloom Series      |
| 270091 | Silent Petals Series         |
| 270092 | Manga Composition Series     |
| 270093 | Chibi Cute Series            |
| 270094 | Abstract Fusion Series       |
| 270095 | Curated Selection Series     |
| 270096 | Barbie Glow Series           |
| 270097 | Dreamy Pastel Series         |
| 270098 | Diverse Composition Series   |
